a,een
burgeons,burgeons
burger,hamburger
burgers,hamburgers
burghers,burgers
burglar,inbreker
burglaries,inbraken
burglars,inbrekers
burglary,inbraak
burgle,burgle
burgled,ingebroken
burgles,burgles
burgling,inbraak
burgundy,bordeaux
burial,begrafenis
burials,begrafenissen
buried,begraven
buries,begraaft
burlesque,klucht
burlesquing,burlesquing
burlier,burlier
burliest,burliest
burly,potig
burma,Birma
burmese,Birmaans
burn,brandwond
burned,verbrand
burner,brander
burners,branders
burning,brandend
burnings,verbrandingen
burnished,gepolijst
burnishing,polijsten
burns,brandwonden
burnt,verbrand
burp,boeren
burped,boerde
burping,een boer laten
burps,burps
burr,wetsteen
burrow,hol
burrowed,nestelden
burrowing,gravende
burrows,holen
burs,boren
bursar,beursstudent
bursaries,beurzen
bursars,economen
bursary,studiebeurs
burst,uitbarsting
bursted,bursted
bursting,barsten
bursts,uitbarstingen
burundi,Boeroendi
bury,begraven
burying,begraven
bus,bus
buses,bussen
bush,struik
bushel,schepel
bushels,bushels
bushes,struiken
bushfire,bosbrand
bushier,bushier
bushiest,bushiest
bushiness,bushiness
bushing,bus
bushland,bushland
bushman,bosjesman
bushmen,bosjesmannen
bushy,ruig
busied,busied
busier,drukker
busies,busies
busiest,drukste
busily,druk
business,bedrijf
businesses,ondernemingen
businesslike,zakelijk
businessman,zakenman
businessmen,zakenlieden
businesswoman,zakenvrouw
busk,balein
busker,busker
buskers,buskers
busking,Busking
busman,buschauffeur
busmen,busmen
bussed,bussed
bussing,Bussing
bust,buste
bustard,trapgans
bustards,bustards
busted,opgepakt
busters,busters
bustier,bustier
busting,busting
bustle,drukte
bustled,bustled
bustles,bruist
bustling,druk
busts,bustes
busty,rondborstige
busy,bezig
busybodies,bemoeials
busybody,bemoeial
busying,busying
but,maar
butane,butaan
butcher,slager
butchered,afgeslacht
butchering,afslachten
butchers,slagers
butchery,slagerij
butler,butler
butlers,butlers
buts,buts
butt,mikpunt
butted,butted
butter,boter
buttercup,boterbloem
buttercups,boterbloemen
buttered,beboterde
butterfat,botervet
butterflies,vlinders
butterfly,vlinder
buttering,botert
buttermilk,karnemelk
butters,boters
butterscotch,toffee
buttery,boterachtig
butting,butting
buttock,bil
buttocks,zitvlak
button,knop
buttoned,dichtgeknoopt
buttonhole,knoopsgat
buttonholed,klampte
buttonholes,knoopsgaten
buttoning,dichtknopen
buttons,toetsen
buttress,steunpilaar
buttressed,geschraagd
buttresses,steunberen
buttressing,steunmiddelen
butts,butts
buxom,mollig
buy,kopen
buyer,koper
buyers,kopers
buying,buying
buyout,uitkopen
buys,koopt
buzz,gezoem
buzzard,buizerd
buzzards,buizerds
buzzed,gonsde
buzzer,zoemer
buzzers,buzzers
buzzes,gonst
buzzing,zoemend
buzzwords,buzzwords
by,door
bye,doei
byebye,tot ziens
byelaw,Landbouwkwaliteitsverordening
byelaws,statuten
byelection,byelection
byelections,tussentijdse verkiezingen
byes,byes
bygone,vervlogen
bygones,bygones
bylaw,bylaw
bylaws,statuten
byline,byline
bypass,bypass
bypassed,omzeild
bypasses,bypasses
bypassing,overbrugging
bypath,zijpad
bypaths,bypaths
byproduct,bijproduct
byproducts,bijproducten
bystander,omstander
bystanders,omstanders
byte,byte
bytes,bytes
byway,byway
byways,byways
byword,spreekwoord
cab,taxi
cabal,kliek
cabals,cabals
cabaret,cabaret
cabarets,cabarets
cabbage,kool
cabbages,kool
cabby,taxichauffeur
cabin,cabine
cabinet,kabinet
cabinetmaker,meubelmaker
cabinets,kasten
cabins,cabines
cable,kabel
cabled,bekabeld
cables,kabels
cableway,kabelbaan
cabling,bekabeling
cabman,koetsier
cabmen,cabmen
caboodle,caboodle
caboose,kombuis
cabriolet,cabriolet
cabs,cabines
cacao,cacao
cache,cache
cached,gecached
caches,caches
cachet,stempel
caching,caching
cackle,kakelen
cackled,kakelde
cackles,kakelt
cackling,gekakel
cacophonous,cacophonous
cacophony,cacofonie
cacti,cactussen
cactus,cactus
cactuses,cactussen
cad,ploert
cadaver,kadaver
cadaverous,lijkkleurig
cadavers,kadavers
caddie,caddy
caddied,caddied
caddies,caddies
caddy,caddy
caddying,caddying
cade,tonnetje
cadence,cadans
cadences,cadences
cadenza,cadenza
cadenzas,cadensen
cadet,cadet
cadets,cadetten
cadge,venten
cadged,cadged
cadger,klaploper
cadges,cadges
cadmium,cadmium
cads,cads
caesar,Caesar
cafe,cafe
cafes,cafes
cafeteria,cafetaria
cafeterias,cafetaria's
caftan,kaftan
caftans,kaftans
cage,kooi
caged,gekooide
cages,kooien
cagey,terughoudend
cagiest,cagiest
caging,kooien
cagoule,cagoule
cagoules,cagoules
cagy,cagy
cahoots,cahoots
caiman,kaaiman
caimans,kaaimannen
cain,Kaïn
cairn,steenhoop
cairns,Cairns
cairo,Cairo
cajole,vleien
cajoled,cajoled
cajoling,aftroggelen
cake,cake
caked,aangekoekt
cakes,cakes
caking,aankoeken
calamities,calamiteiten
calamitous,rampspoedig
calamitously,calamitously
calamity,ramp
calcareous,kalkrijke
calcification,verkalking
calcified,verkalkte
calcify,verkalken
calcite,calciet
calcium,calcium
calculable,berekenbaar
calculate,berekenen
calculated,berekend
calculatedly,calculatedly
calculates,berekent
calculating,berekenen
calculation,berekening
calculations,berekeningen
calculative,berekenend
calculator,rekenmachine
calculators,rekenmachines
calculus,rekening
calcutta,calcutta
caldera,caldera
caldron,ketel
caldrons,ketels
calendar,kalender
calendars,kalenders
calf,kalf
calibrate,kalibreren
calibrated,gekalibreerd
calibrates,kalibreert
calibrating,kalibreren
calibration,ijking
calibrations,kalibraties
calibrator,calibrator
calibrators,kalibratoren
calibre,kaliber
calico,calico
calif,calif
california,Californië
caliper,remklauw
calipers,remklauwen
caliph,kalief
call,telefoontje
callable,callable
called,riep
caller,bezoeker
callers,bellers
callgirl,callgirl
callgirls,callgirls
calligrapher,kalligraaf
calligraphic,kalligrafische
calligraphy,schoonschrift
calling,roeping
callings,roepingen
calliper,schuifmaat
callipers,remklauwen
callisthenics,gymnastiek
callous,ongevoelig
calloused,calloused
callously,harteloos
callousness,hardvochtigheid
callow,onervaren
callowness,callowness
calls,calls
callup,bellen
callus,eelt
calm,kalmte
calmed,kalmeerde
calmer,rustiger
calmest,rustigste
calming,rustgevende
calmly,rustig
calmness,rust
calms,kalmeert
calorie,calorie
calories,calorieën
calorific,calorische
calorimeter,calorimeter
calorimeters,calorimeters
calorimetry,calorimetrie
calory,calorie
calumniate,belasteren
calumnies,laster
calumny,laster
calvary,Golgotha
calve,kalven
calves,kalveren
calvin,calvin
calving,afkalven
calypso,calypso
cam,kam
camaraderie,kameraadschap
camber,welving
cambodia,Cambodja
camcorder,camcorder
camcorders,camcorders
came,kwam
camel,kameel
camelhair,camelhair
camelot,camelot
camels,kamelen
cameo,camee
camera,camera
cameraman,cameraman
cameramen,cameramannen
cameras,camera's
camerawork,filmopname
camisole,hemdje
camomile,kamille
camouflage,camouflage
camouflaged,gecamoufleerd
camouflages,camouflages
camouflaging,camoufleren
camp,kamp
campaign,campagne
campaigned,campagne
campaigner,veteraan
campaigners,campagnevoerders
campaigning,campagne voeren
campaigns,campagnes
campanile,campanile
campanological,campanologische
campanologist,campanologist
campanology,campanologie
camped,kampeerden
camper,kampeerder
campers,kampeerders
campfire,kampvuur
campfires,kampvuren
camphor,kamfer
camping,camping
camps,kampen
campsite,camping
campsites,campings
campus,campus
campuses,campussen
cams,cams
camshaft,nokkenas
can,kan
canaan,Kanaän
canada,Canada
canadian,Canadees
canal,kanaal
canalisation,kanalisatie
canals,grachten
canape,canape
canapes,canapes
canard,canard
canaries,kanaries
canary,kanarie
canberra,Canberra
cancan,kan kan
cancel,Annuleer
cancellation,annulering
cancellations,annuleringen
cancelled,geannuleerd
cancelling,annuleren
cancels,annuleert
cancer,kanker
cancerous,kankerachtig
cancers,kankers
candelabra,luchter
candelas,candela
candid,openhartig
candidacy,kandidatuur
candidate,kandidaat
candidates,kandidaten
candidature,kandidatuur
candidatures,kandidaturen
candidly,openhartig
candies,snoepjes
candle,kaars
candlelight,kaarslicht
candlelit,kaarslicht
candlepower,lichtkracht
candles,kaarsen
candlestick,kandelaar
candlesticks,kandelaars
candour,openhartigheid
candy,snoep
cane,riet
caned,caned
canes,wandelstokken
canine,hoektand
canines,hoektanden
caning,stokslagen
canings,stokslagen
canister,busje
canisters,bussen
cannabis,hennep
canned,ingeblikt
cannel,cannel
cannery,conservenfabriek
cannes,cannes
cannibal,kannibaal
cannibalise,kannibaliseren
cannibalised,gekannibaliseerd
cannibalising,kannibaliseren
cannibalism,kannibalisme
cannibalistic,kannibalistisch
cannibals,kannibalen
cannily,cannily
canning,inblikken
cannon,kanon
cannonball,kanonskogel
cannonballs,kanonskogels
cannoned,cannoned
cannoning,canyoning
cannons,kanonnen
cannot,kan niet
cannula,canule
canny,omzichtig
canoe,kano
canoed,gekanood
canoeing,kanoën
canoeist,kanovaarder
canoeists,kanovaarders
canoes,kano's
canon,canon
canonic,kanoniek
canonical,kanoniek
canonically,canoniek
canonisation,heiligverklaring
canonise,heilig te verklaren
canonised,canonised
canonry,domheerschap
canons,canons
canopener,blikopener
canopied,overdekte
canopies,luifels
canopy,baldakijn
cans,blikjes
cant,kantelen
cantaloupe,kantaloepa
cantankerous,chagrijnig
cantata,kantate
cantatas,cantates
canted,helled
canteen,kantine
canteens,kantines
canter,korte galop
cantered,cantered
cantering,cantering
canters,canters
canticle,lofzang
canticles,hooglied
cantilever,console
cantilevered,vrijdragende
canton,kanton
cantons,kantons
cantor,kantor
canvas,canvas
canvased,canvased
canvases,doeken
canvass,werven
canvassed,canvassed
canvasser,colporteur
canvassers,colporteurs
canvasses,doeken
canvassing,prospectie
canyon,canyon
canyons,canyons
cap,pet
capabilities,mogelijkheden
capability,geschiktheid
capable,in staat
capably,bekwaam
capacious,ruim
capacitance,capaciteit
capacities,capaciteiten
capacitive,capacitieve
capacitor,condensator
capacitors,condensatoren
capacity,capaciteit
caparisoned,caparisoned
cape,kaap
caped,caped
caper,kappertje
capered,capered
capering,capriolen
capers,kappertjes
capes,capes
capetown,Kaapstad
capillaries,haarvaten
capillary,capillair
capita,capita
capital,hoofdstad
capitalisation,kapitalisatie
capitalise,kapitaliseren
capitalised,gekapitaliseerde
capitalises,kapitaliseert
capitalising,kapitaliseren
capitalism,kapitalisme
capitalist,kapitalist
capitalistic,kapitalistisch
capitalists,kapitalisten
capitally,capitally
capitals,hoofdsteden
capitate,capitatum
capitation,capitation
capitol,Capitol
capitulate,capituleren
capitulated,capituleerde
capitulates,capituleert
capitulating,capituleren
capitulation,capitulatie
capped,afgetopte
capping,aftopping
cappuccino,cappuccino
capri,driekwartsbroek
caprice,gril
caprices,caprices
capricious,grillig
capriciously,grillig
capriciousness,grilligheid
capriole,capriole
capris,capri
caps,caps
capsize,kapseizen
capsized,gekapseisd
capsizes,kapseist
capsizing,kapseizen
capstan,kaapstander
capstans,kaapstanders
capsule,capsule
capsules,capsules
captain,gezagvoerder
captaincy,kapiteinschap
captained,aanvoerder
captaining,captaining
captains,kapiteins
caption,onderschrift
captioned,Onderschrift
captions,bijschriften
captious,spitsvondig
captivate,boeien
captivated,gefascineerd
captivating,boeiende
captivation,captivation
captive,gevangen
captives,gevangenen
captivity,gevangenschap
captor,vanger
captors,ontvoerders
capture,vangst
captured,gevangen genomen
captures,captures
capturing,capturing
capybara,capybara
car,auto
carabinieri,carabinieri
caracal,karakal
caracals,caracals
carafe,karaf
caramel,karamel
caramelised,gekarameliseerde
caramels,karamels
carapace,rugschild
carat,karaat
carats,karaat
caravan,caravan
caravanning,caravan
caravans,caravans
caravel,caravel
caraway,karwij
carbide,carbide
carbine,karabijn
carbines,karabijnen
carbohydrate,koolhydraat
carbohydrates,koolhydraten
carbolic,karbol
carbon,koolstof
carbonaceous,koolstofhoudend
carbonate,carbonaat
carbonated,koolzuurhoudende
carbonates,carbonaten
carbonic,koolzuur
carboniferous,koolstofhoudend
carbonise,verkolen
carbons,koolstoffen
carbonyl,carbonyl
carborundum,karborund
carboxyl,carboxyl
carbuncle,karbonkel
carbuncles,carbuncles
carburettor,carburator
carburettors,carburateurs
carcase,geslacht
carcases,karkassen
carcass,karkas
carcasses,karkassen
carcinogen,kankerverwekkend
carcinogenesis,carcinogenese
carcinogenic,kankerverwekkend
carcinogens,kankerverwekkende stoffen
carcinoma,carcinoom
carcinomas,carcinomen
card,kaart
cardboard,karton
carded,gekaard
cardholders,kaarthouders
cardiac,hart
cardiff,Cardiff
cardigan,Cardigan
cardigans,vesten
cardinal,kardinaal
cardinality,belangrijkheid
cardinals,kardinalen
carding,kaarden
cardioid,nier
cardiologist,cardioloog
cardiology,cardiologie
cardiopulmonary,cardiopulmonale
cardiovascular,cardiovasculaire
cards,kaarten
care,zorg
cared,verzorgd
career,carrière
careered,careered
careering,careering
careerism,carrièrisme
careerist,karjerist
careerists,carrièremakers
careers,carrières
carefree,zorgeloos
careful,voorzichtig
carefully,voorzichtig
carefulness,voorzichtigheid
careless,zorgeloos
carelessly,zorgeloos
carelessness,slordigheid
carer,verzorger
carers,verzorgers
cares,zorgen
caress,strelen
caressed,gestreeld
caresses,liefkozingen
caressing,strelen
caressingly,liefkozend
caretaker,huisbewaarder
caretakers,verzorgers
carets,inlastekens
careworn,careworn
cargo,lading
caribou,Caribou
caricature,karikatuur
caricatured,karikaturale
caricatures,karikaturen
caricaturisation,caricaturisation
caries,cariës
caring,zorgzaam
carmine,karmijn
carnage,bloedbad
carnages,carnages
carnal,vleselijk
carnality,wellust
carnally,vleselijk
carnation,anjer
carnations,anjers
carnival,carnaval
carnivals,carnavals
carnivore,carnivoor
carnivores,vleeseters
carnivorous,vleesetend
carnivorousness,carnivorousness
carol,Carol
carols,carols
carotene,caroteen
carotid,halsslagader
carotin,karotene
carouse,zuipen
carousel,carrousel
carousing,carousing
carp,karper
carpal,carpaal
carpenter,timmerman
carpenters,timmerlieden
carpentry,timmerwerk
carpet,tapijt
carpeted,vloerbedekking
carpeting,vloerbedekking
carpets,tapijten
carping,carping
carport,carport
carports,carports
carps,karpers
carrel,carrel
carriage,vervoer
carriages,rijtuigen
carriageway,rijbaan
carriageways,rijbanen
carried,gedragen
carrier,carrier
carriers,carriers
carries,draagt
carrion,aas
carrot,wortel
carrots,wortels
carroty,geelrood
carry,dragen
carrycot,reiswieg
carrying,vervoer
cars,auto's
carsick,carsick
cart,kar
carted,carted
cartel,kartel
cartels,kartels
carter,voerman
carthorses,trekpaarden
cartilage,kraakbeen
carting,karten
cartload,cartload
cartloads,karren
cartographer,kartograaf
cartographers,cartografen
cartographic,cartografische
cartography,cartografie
carton,karton
cartons,kartons
cartoon,spotprent
cartoonist,cartoonist
cartoonists,cartoonisten
cartoons,cartoons
cartouche,cartouche
cartridge,patroon
cartridges,cartridges
carts,karren
cartwheel,cartwheel
cartwheels,cartwheels
carve,kerven
carved,gesneden
carver,voorsnijder
carvers,carvers
carvery,vleesbuffet
carves,kerft
carving,snijwerk
carvings,houtsnijwerk
caryatids,kariatiden
casanova,casanova
cascade,cascade
cascaded,cascade
cascades,cascades
cascading,cascading
cascara,cascara
case,geval
casebook,casebook
cased,cased
caseload,caseload
caseloads,caseload
casement,openslaand venster
casements,gordijnstoffen
cases,gevallen
casework,casework
cash,contant
cashbox,gelddoos
cashed,geïnd
cashes,cashes
cashew,cachou
cashier,Kassa
cashiers,Bankbediende
cashing,verzilveren
cashless,cashless
cashmere,kasjmier
casing,omhulsel
casings,behuizingen
casino,casino
cask,vat
casket,kistje
caskets,kistjes
casks,vaten
cassava,cassave
casserole,braadpan
casseroles,stoofschotels
cassette,cassette
cassettes,cassettes
cassock,soutane
cassocks,soutane
cassowary,casuaris
cast,gegoten
castanet,castanet
castanets,castagnetten
castaway,verstoten
castaways,schipbreukelingen
caste,kaste
castellated,gekanteeld
caster,gieter
casters,casters
castes,kasten
castigate,kastijden
castigated,gehekeld
castigates,hekelt
castigating,hekelen
casting,gieten
castings,gietstukken
castiron,gietijzer
castle,kasteel
castled,castled
castles,kastelen
castling,rokade
castoff,castoff
castoffs,afgedankt
castor,castor
castors,wieltjes
castrate,castreren
castrated,gecastreerd
castrating,castrating
castration,castratie
castrato,castrato
casts,afgietsels
casual,toevallig
casually,toevallig
casualness,vanzelfsprekendheid
casuals,casuals
casualties,doden en gewonden
casualty,ongeval
casuistry,casuïstiek
cat,kat
cataclysm,natuurramp
cataclysmic,cataclysmische
catacomb,catacombe
